file	pr	ref
1543-qr_code_key_verification.md	3309	refs/pr/upstream/3309
1756-cross-signing.md	3309	refs/pr/upstream/3309
1772-groups-as-rooms.md	3309	refs/pr/upstream/3309
1960-integrations-openid.md	3309	refs/pr/upstream/3309
2010-spoilers.md	3309	refs/pr/upstream/3309
2184-allow-html-details.md	3309	refs/pr/upstream/3309
2241-e2e-verification-in-dms.md	3309	refs/pr/upstream/3309
2265-email-lowercase.md	3309	refs/pr/upstream/3309
2312-matrix-uri.md	3309	refs/pr/upstream/3309
2320-identity-versions.md	3309	refs/pr/upstream/3309
2366-key-verification-accept.md	3309	refs/pr/upstream/3309
2403-knock.md	3309	refs/pr/upstream/3309
2414-optional-content-reporting-reason.md	3309	refs/pr/upstream/3309
2557-spoiler-clarifications.md	3309	refs/pr/upstream/3309
2713-remove-deprecated-identity-endpoints.md	3309	refs/pr/upstream/3309
2732-olm-fallback-keys.md	3309	refs/pr/upstream/3309
2758-textual-id-grammar.md	3309	refs/pr/upstream/3309
2765-widget-avatars.md	3309	refs/pr/upstream/3309
2774-widget-id.md	3309	refs/pr/upstream/3309
2778-appservice-login.md	3309	refs/pr/upstream/3309
2788-v6-default-version.md	3309	refs/pr/upstream/3309
2801-untrusted-event-data.md	3309	refs/pr/upstream/3309
2844-global-versioning.md	3309	refs/pr/upstream/3309
2858-Multiple-SSO-Identity-Providers.md	3309	refs/pr/upstream/3309
2874-single-ssss.md	3309	refs/pr/upstream/3309
2998-rooms-v7.md	3309	refs/pr/upstream/3309
3083-restricted-rooms.md	3309	refs/pr/upstream/3309
3122-deprecate-starting-verifications-without-request.md	3309	refs/pr/upstream/3309
3173-expose-stripped-state-events.md	3309	refs/pr/upstream/3309
3309-room-counters.md	3309	refs/pr/upstream/3309
1543-qr_code_key_verification.md	3325	refs/pr/upstream/3325
1756-cross-signing.md	3325	refs/pr/upstream/3325
1772-groups-as-rooms.md	3325	refs/pr/upstream/3325
1960-integrations-openid.md	3325	refs/pr/upstream/3325
2010-spoilers.md	3325	refs/pr/upstream/3325
2184-allow-html-details.md	3325	refs/pr/upstream/3325
2241-e2e-verification-in-dms.md	3325	refs/pr/upstream/3325
2265-email-lowercase.md	3325	refs/pr/upstream/3325
2312-matrix-uri.md	3325	refs/pr/upstream/3325
